Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Natures Basket Bandra ,Kolkata,Natures Basket Worli ,Natures Basket Chembur
kc6,KC6,Size (lb),1.5,,,,,KC6-007,,IN,not stocked,0,not stocked,not stocked
kc6,KC6,Size (lb),2,,,,,KC6-008,,IN,not stocked,0,not stocked,not stocked
chocolate-raspberry-cake,Chocolate Raspberry Cake,Size,1 kg,,,,,"",,IN,5,0,not stocked,not stocked
nutella-cheesecake,Nutella Cheesecake,Size,1 kg,,,,,"",,IN,5,0,not stocked,not stocked
white-chocolate-raspberry-cheesecake,White Chocolate Raspberry Cheesecake,Size,1 kg,,,,,"",,IN,5,0,not stocked,not stocked
baby-shower-what-will-it-bee,Baby Shower - What will it Bee?,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
love-for-video-games-1,Love for Video Games -1,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
love-for-video-games-2,Love for Video Games - 2,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
happy-birthday-shoutout,Happy Birthday - Shoutout,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
welcome-baby-girl,Welcome Baby Girl,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
welcome-baby-boy,Welcome Baby Boy,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
oh-baby-girl-balloon-set,Oh Baby! Girl Balloon Set,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
oh-baby-boy-balloon-set,Oh Baby! Boy Balloon Set,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
baby-girl-table-arrangement,Baby Girl Table Arrangement,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
baby-boy-table-arrangement,Baby Boy Table Arrangement,Title,Default Title,,,,,"",,,10,0,not stocked,not stocked
customized-bubble-balloon,Customized Bubble Balloon,Title,Default Title,,,,,"",,,9,0,not stocked,not stocked
